iter	MultiClassOneVsAll
666	0.13029416
667	0.1302622623
668	0.1302270159
669	0.1301873174
670	0.1300975853
671	0.1300534813
672	0.1300097633
673	0.1299382383
674	0.1299059216
675	0.1298730124
676	0.1298344329
677	0.1297967046
678	0.1297759721
679	0.1297499604
680	0.1297256867
681	0.1296678834
682	0.1296164519
683	0.129587642
684	0.1295382393
685	0.1294993634
686	0.1294435276
687	0.1293940537
688	0.1293374381
689	0.1292659487
690	0.1292464381
691	0.1291988972
692	0.1291685847
693	0.1291019123
694	0.1290659663
695	0.1290020845
696	0.1289705483
697	0.1289362935
698	0.1289106325
699	0.1288598919
700	0.1288108915
701	0.1287858513
702	0.12876123
703	0.1287039084
704	0.1286674178
705	0.1286292297
706	0.1285957947
707	0.1285649945
708	0.1285219056
709	0.1284857074
710	0.1284543925
711	0.1284145456
712	0.1283595419
713	0.1283280998
714	0.128293225
715	0.1282510204
716	0.1282039311
717	0.128179371
718	0.1281495415
719	0.1281164684
720	0.1280800773
721	0.1280358459
722	0.1279800148
723	0.1279480435
724	0.12791631
725	0.127897015
726	0.1278468474
727	0.1278250168
728	0.1277891578
729	0.1277546271
730	0.127721473
731	0.1276797667
732	0.127646362
733	0.1276166387
734	0.1275973498
735	0.1275658169
736	0.127527864
737	0.127489318
738	0.1274329134
739	0.1273979882
740	0.12734917
741	0.1273184008
742	0.1272911888
743	0.1272559102
744	0.1272168498
745	0.1271620197
746	0.1271266916
747	0.1270813908
748	0.1270542303
749	0.1270125315
750	0.126978636
751	0.1269500561
752	0.1269217968
753	0.1268902922
754	0.1268713274
755	0.1268174391
756	0.1267942101
757	0.1267557871
758	0.1267237071
759	0.1267003306
760	0.1266665731
761	0.1266347198
762	0.1266053536
763	0.1265447248
764	0.126497584
765	0.1264668741
766	0.1264327777
767	0.126394285
768	0.1263466468
769	0.1262899582
770	0.1262263275
771	0.1262039063
772	0.1261740697
773	0.1261542122
774	0.1261173531
775	0.1260980847
776	0.126045379
777	0.1260009966
778	0.1259775526
779	0.1259508681
780	0.1259349335
781	0.1258956872
782	0.1258600114
783	0.1258368734
784	0.1258036645
785	0.1257757643
786	0.1257445699
787	0.1257108935
788	0.1256782088
789	0.1256469056
790	0.1255967989
791	0.1255711482
792	0.1255490622
793	0.1255157817
794	0.1255007518
795	0.1254459017
796	0.1253892946
797	0.1253500536
798	0.1253130843
799	0.1252800371
800	0.1252320574
801	0.1251854731
802	0.1251299925
803	0.1250812022
804	0.1250431842
805	0.1250248119
806	0.1249808732
807	0.1249447192
808	0.1249216417
809	0.1248893189
810	0.1248565929
811	0.1248235305
812	0.124786959
813	0.1247571253
814	0.1247261177
815	0.1246824927
816	0.124660341
817	0.1246348824
818	0.1246142174
819	0.1245616632
820	0.1245192332
821	0.1244933774
822	0.1244444891
823	0.1244302839
824	0.1244100762
825	0.1243661129
826	0.1243311216
827	0.1243043754
828	0.1242757222
829	0.1242558508
830	0.124235948
831	0.1241798108
832	0.1241457437
833	0.1241137203
834	0.1240597683
835	0.1240237385
836	0.1240014599
837	0.1239759891
838	0.1239222291
839	0.123883295
840	0.1238327512
841	0.1238048532
842	0.1237719414
843	0.1237344652
844	0.1236848709
845	0.1236352231
846	0.1236043045
847	0.1235723496
848	0.1235537186
849	0.1235165385
850	0.1234670689
851	0.1234369847
852	0.1234054535
853	0.1233691103
854	0.123332911
855	0.1233020909
856	0.1232666543
857	0.1232236563
858	0.1231954781
859	0.1231598841
860	0.1231159629
861	0.1230683568
862	0.123035719
863	0.1230075452
864	0.1229685615
865	0.1229342715
866	0.1228933551
867	0.1228605085
868	0.1228337919
869	0.1228018884
870	0.1227648357
871	0.1227374393
872	0.1226952602
873	0.1226579946
874	0.1226395328
875	0.122618171
876	0.1225933115
877	0.1225823926
878	0.1225545387
879	0.1225362656
880	0.1225254642
881	0.1224869516
882	0.1224627413
883	0.1224295827
884	0.1223961407
885	0.1223665553
886	0.122346661
887	0.1223121596
888	0.1222897618
889	0.1222728712
890	0.1222470836
891	0.1222069456
892	0.1221785249
893	0.1221549926
894	0.122111441
895	0.1220854572
896	0.1220707601
897	0.1220331829
898	0.1219811675
899	0.1219546394
900	0.1219095307
901	0.1218815104
902	0.1218508811
903	0.1218150508
904	0.1217746058
905	0.1217363171
906	0.1217026452
907	0.1216713957
908	0.1216293981
909	0.121596884
910	0.1215672388
911	0.1215303312
912	0.1215070175
913	0.1214751928
914	0.1214470282
915	0.1214172433
916	0.1213771446
917	0.1213597951
918	0.1213402894
919	0.1212863473
920	0.1212383194
921	0.1212217924
922	0.12119569
923	0.1211588879
924	0.121133399
925	0.1211028569
926	0.1210640038
927	0.1210445598
928	0.1210208717
929	0.1209995161
930	0.1209885517
931	0.1209566936
932	0.1209228975
933	0.120886338
934	0.1208662438
935	0.1208322637
936	0.1207999347
937	0.1207740203
938	0.1207570404
939	0.1207140847
940	0.1206906332
941	0.1206589624
942	0.120632961
943	0.1205837024
944	0.1205585353
945	0.1205362035
946	0.1204891933
947	0.1204515009
948	0.1204296598
949	0.120402231
950	0.1203802049
951	0.1203528384
952	0.1203170965
953	0.1202972075
954	0.1202693955
955	0.120237071
956	0.1202107171
957	0.1201814381
958	0.1201480524
959	0.1201318911
960	0.1201070249
961	0.1200449989
962	0.1200323404
963	0.1200068391
964	0.1199720383
965	0.1199320764
966	0.1198992354
967	0.1198744781
968	0.1198219493
969	0.1197914584
970	0.1197571988
971	0.1197274887
972	0.1196808917
973	0.1196491581
974	0.119610934
975	0.119591417
976	0.1195564228
977	0.1195315361
978	0.1194906368
979	0.1194619145
980	0.1194270636
981	0.1193892873
982	0.1193567935
983	0.1193344644
984	0.1192944341
985	0.1192718777
986	0.1192338052
987	0.1192026473
988	0.1191761417
989	0.1191601873
990	0.1191320664
991	0.1191103418
992	0.1190916206
993	0.1190425623
994	0.1190131763
995	0.1189935069
996	0.118981356
997	0.1189543122
998	0.1189270603
999	0.1188929995
